name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,1001000,2001012,,1,12,1,1,1,1,12
,2,2001012,3001017,,1,5,1,1,1,1,5
,3,3001017,4001030,,1,13,1,1,1,1,13
,4,4000930,3000946,,1,16,1,1,1,1,16
,5,3000946,3000949,,1,3,1,1,1,1,3
,6,3000949,2001000,,1,11,1,1,1,1,11
,7,2001000,2001016,,1,16,1,1,1,1,16
,8,2001016,1001032,,1,16,1,1,1,1,16
,9,1001036,2001048,,1,12,1,1,1,1,12
,10,2001048,3001053,,1,5,1,1,1,1,5
,11,3001053,4001106,,1,13,1,1,1,1,13
,12,4001110,3001126,,1,16,1,1,1,1,16
,13,3001126,3001130,,1,4,1,1,1,1,4
,14,3001130,2001141,,1,11,1,1,1,1,11
,15,2001141,2001145,,1,4,1,1,1,1,4
,16,2001145,1001201,,1,16,1,1,1,1,16
